Reference,Quantity,Description,Manufacturer,Part Number,Digi-Key P/N
C1 C7 C9 C11 C13 C14 C17 C18 C19 C20 C24 C32 C33 C34 C35 C36 C47 C49 C50 C53 C55,21,CAP CER 0.1UF 16V X7R 0603,Samsung,CL10B104KO8NNWC,1276-1939-1-ND
C2 C4 C15 C21 C26 C27 C41 C42 C43,9,CAP 10 UF 20% 25 V,Wurth Electronics,865230440002,732-8259-1-ND
C3 C6 C16 C25,4,CAP CER 1UF 16V X7R 0603,Samsung,CL10B105MO8NNWC,1276-6524-1-ND
C5 C10,2,CAP CER 2.2UF 10V X7R 0603,Samsung,CL10B225KP8NNNC,1276-1134-1-ND
C8 C12 C22 C23 C28 C37,6,CAP CER 18PF 50V C0G/NP0 0603,Samsung,CL10C180FB8NNNC,1276-2206-1-ND
C29 C30 C31 C38 C39 C40,6,CAP CER 1000PF 50V C0G/NP0 0603,Samsung,CL10C102JB8NNNC,1276-1091-1-ND
C44 C48 C51 C52 C54,5,CAP 47 UF 20% 25 V,Wurth Electronics,865230445005,732-8262-1-ND
C45 C46,2,CAP CER 220PF 50V C0G/NP0 0603,Samsung,CL10C221JB8NNNC,1276-1048-1-ND
D1 D2,2,DIODE SCHOTTKY 40V 1A SOD123,Diodes Incorporated,1N5819HW-7-F,1N5819HW-FDICT-ND
H1 H2 H3 H4,4,"CONN HEADER FMAL 10PS.1"" DL GOLD",Sullins,PPPC052LFBN-RC,S7108-ND
H5,1,"BOX HEADER, 0.050 10 POS",CNC Tech,3220-10-0100-00,1175-1627-ND
H7,1,CONN HEADER VERT 10POS GOLD,On Shore Technology,302-S101,ED1543-ND
Q1 Q2,2,TRANS NPN 40V 0.2A SMD SOT23-3,Diodes Incorporated,MMBT3904-7-F,MMBT3904-FDICT-ND
R1 R13 R21,3,RES SMD 10K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1002V,P10.0KHCT-ND
R2 R3,2,RES SMD 100 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1000V,P100HCT-ND
R4 R5,2,RES SMD 2.2K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF2201V,P2.20KHCT-ND
R6 R7 R8 R12 R20 R42 R43 R44,8,RES SMD 100K OHM 0.1% 1/10W 0603,Susumu,RG1608P-104-B-T5,RG16P100KBCT-ND
R9 R11 R32 R33 R34,5,RES SMD 200K OHM 0.1% 1/10W 0603,Susumu,RG1608P-204-B-T5,RG16P200KBCT-ND
R10,1,RES SMD 180K OHM 0.1% 1/10W 0603,Susumu,RG1608P-184-B-T5,RG16P180KBCT-ND
R14 R28 R29,3,RES SMD 33K OHM 0.1% 1/10W 0603,Susumu,RG1608P-333-B-T5,RG16P33.0KBCT-ND
R15,1,RES SMD 47K OHM 0.1% 1/10W 0603,Susumu,RG1608P-473-B-T5,RG16P47.0KBCT-ND
R16 R30,2,RES SMD 66.5KOHM 0.1% 1/10W 0603,Panasonic,ERA-3AEB6652V,P66.5KDBCT-ND
R17 R26 R46 R47 R48 R49,6,RES SMD 5.6K OHM 0.1% 1/10W 0603,Susumu,RG1608P-562-B-T5,RG16P5.6KBCT-ND
R18 R19 R25 R27,4,RES SMD 39K OHM 0.1% 1/10W 0603,Susumu,RG1608P-393-B-T5,RG16P39.0KBCT-ND
R22 R23,2,RES SMD 1K OHM 0.1% 1/10W 0603,Susumu,RG1608P-102-B-T5,RG16P1.0KBCT-ND
R24 R35 R36 R37 R38 R39 R40 R41,8,RES SMD 68 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF68R0V,P68.0HCT-ND
R31 R54,2,RES SMD 470 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF4700V,P470HCT-ND
R45,1,RES SMD 4.7 OHM 5% 1/4W 1206,Panasonic,ERJ-8GEYJ4R7V,P4.7ECT-ND
R50 R53,2,RES SMD 22K OHM 0.1% 1/10W 0603,Susumu,RG1608P-223-B-T5,RG16P22.0KBCT-ND
R51 R52,2,RES SMD 3.3K OHM 0.1% 1/10W 0603,Susumu,RG1608P-332-B-T5,RG16P3.3KBCT-ND
U1,1,IC CODEC PORT INTERNET 28SSOP,Cirrus Logic,WM8731SEDS/RV,WM8731SEDS/RVCT-ND
U2,1,IC MCU 32BIT 1MB FLASH 64LQFP,STMicroelectronics,STM32F405RGT6,497-11767-ND
U3 U7,2,IC OPAMP JFET 3MHZ 8TSSOP,Texas Instruments,TL072CPWR,296-7193-1-ND
U4,1,IC OPAMP GP 1MHZ RRO 14TSSOP,Microchip Technology,MCP6004T-E/ST,MCP6004T-E/STCT-ND
U5,1,IC OPAMP GP 1MHZ RRO 8MSOP,Microchip Technology,MCP6002T-I/MS,MCP6002T-I/MSCT-ND
U6,1,IC 8BIT SHIFT REGISTER 16-TSSOP,Texas Instruments,SN74HC595PWR,296-23258-1-ND
U8 U9,2,IC REG LINEAR 3.3V 800MA SOT223,Texas Instruments,LM1117IMP-3.3/NOPB,LM1117IMP-3.3/NOPBCT-ND
U10,1,IC VREF SHUNT 10V SOT23-3,Texas Instruments,LM4040C10IDBZR,296-20882-1-ND
X1,1,CRYSTAL 12.2880MHZ 18PF SMD,Abracon,ABM3-12.288MHZ-D2Y-T,535-10635-1-ND
X2,1,CRYSTAL 8.0000MHZ 18PF SMD,Abracon,ABM3-8.000MHZ-D2Y-T,535-10630-1-ND